,precision,recall,f1-score,support
bacterial_leaf_blight,0.9744897959183674,0.8681818181818182,0.9182692307692307,220.0
brown_spot,0.9859154929577465,0.9364548494983278,0.9605488850771869,299.0
healthy_rice_leaf,0.9878542510121457,0.991869918699187,0.9898580121703854,246.0
leaf_blast,0.8992248062015504,0.997134670487106,0.9456521739130435,349.0
accuracy,0.9542190305206463,0.9542190305206463,0.9542190305206463,0.9542190305206463
macro avg,0.9618710865224525,0.9484103142166098,0.9535820754824617,1114.0
weighted avg,0.9569282680518276,0.9542190305206463,0.9540045126542879,1114.0
