,precision,recall,f1-score,support
bacterial_leaf_blight,1.0,0.9743589743589743,0.987012987012987,117.0
brown_spot,0.9854014598540146,0.9782608695652174,0.9818181818181818,138.0
healthy_rice_leaf,1.0,1.0,1.0,128.0
leaf_blast,0.9775280898876404,1.0,0.9886363636363636,174.0
accuracy,0.9892280071813285,0.9892280071813285,0.9892280071813285,0.9892280071813285
macro avg,0.9907323874354138,0.9881549609810479,0.9893668831168831,557.0
weighted avg,0.9893631761226275,0.9892280071813285,0.9892175149805312,557.0
