,precision,recall,f1-score,support
bacterial_leaf_blight,0.985207100591716,0.940677966101695,0.9624277456647399,354.0
brown_spot,0.9863636363636363,0.9644444444444444,0.9752808988764045,450.0
healthy_rice_leaf,0.988795518207283,1.0,0.9943661971830986,353.0
leaf_blast,0.9515828677839852,0.9922330097087378,0.9714828897338403,515.0
accuracy,0.9754784688995215,0.9754784688995215,0.9754784688995215,0.9754784688995215
macro avg,0.9779872807366552,0.9743388550637193,0.9758894328645208,1672.0
weighted avg,0.9759192253642507,0.9754784688995215,0.9754191281568549,1672.0
