Scenario_ID,Split_Ratio,Optimizer,Learning_Rate,Epochs,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Precision,Recall,F1_Score
1,90:10,Adam,0.0005,30,0.9649332761764526,1.0,0.09753535687923431,0.010683573782444,1.0,1.0,1.0
3,90:10,Adam,0.001,30,0.9641363024711609,0.9982046484947205,0.0975397527217865,0.010383455082774162,1.0,1.0,1.0
9,70:30,Adam,0.001,30,0.9602971076965332,0.9940191507339478,0.11540711671113968,0.022058913484215736,1.0,0.9952153110047847,0.9976019184652278
4,90:10,SGD,0.001,30,0.8989838361740112,0.9874326586723328,0.266215443611145,0.07169321179389954,1.0,0.9874326750448833,0.993676603432701
7,80:20,Adam,0.001,30,0.9251288771629333,0.9856502413749695,0.20894315838813782,0.05114999786019325,1.0,0.9964125560538116,0.9982030548068284
5,90:10,Adam,0.002,30,0.9517832398414612,0.9820466637611389,0.15798215568065643,0.05203694477677345,1.0,0.9964093357271095,0.9982014388489209
2,90:10,SGD,0.0005,30,0.8684996962547302,0.9748653769493103,0.34384188055992126,0.126304030418396,1.0,0.9748653500897666,0.9872727272727272
8,80:20,SGD,0.001,30,0.8935216069221497,0.9739910364151001,0.2754494249820709,0.09355620294809341,1.0,0.9883408071748879,0.9941362201172756
10,70:30,SGD,0.001,30,0.8839651346206665,0.9659090638160706,0.30854228138923645,0.12232545018196106,1.0,0.9742822966507177,0.9869736443501969
6,90:10,SGD,0.002,30,0.8802550435066223,0.9569120407104492,0.3158907890319824,0.12381404638290405,1.0,0.9892280071813285,0.9945848375451264
