,precision,recall,f1-score,support
bacterial_leaf_blight,0.990990990990991,0.9401709401709402,0.9649122807017544,117.0
brown_spot,0.9854014598540146,0.9782608695652174,0.9818181818181818,138.0
healthy_rice_leaf,1.0,1.0,1.0,128.0
leaf_blast,0.9613259668508287,1.0,0.9802816901408451,174.0
accuracy,0.9820466786355476,0.9820466786355476,0.9820466786355476,0.9820466786355476
macro avg,0.9844296044239585,0.9796079524340394,0.9817530381651953,557.0
weighted avg,0.9824094535688405,0.9820466786355476,0.9819652783079379,557.0
